convertedManaCost,toughness,power,edhrecRank,num_rulings,num_sets_printed,colour_U,colour_R,colour_W,colour_G,colour_B,colour_[],rarity_common,rarity_uncommon,rarity_rare,rarity_mythic,prices.paper.2019-08-11
3,4,4,14869,1,6,0,0,0,0,0,0,0,1,0,0,0.25
4,2,2,14870,0,4,0,0,0,0,0,0,1,0,0,0,0.17
4,3,3,17480,0,20,0,0,0,0,0,0,1,0,0,0,0.19
1,1,1,16255,0,5,0,0,0,0,0,0,1,0,0,0,0.18
3,3,1,5117,0,3,0,0,0,0,0,0,1,0,0,0,0.19
4,6,6,7193,0,6,0,0,0,0,0,0,0,1,0,0,0.25
3,2,2,3850,1,17,0,0,0,0,0,0,0,0,1,0,1.99
3,2,2,3850,1,17,0,0,0,0,0,0,0,0,1,0,1.99
1,1,1,17485,0,4,0,0,0,0,0,0,0,1,0,0,0.25
2,1,2,3880,1,2,0,0,0,0,0,0,0,0,1,0,3.13
4,4,3,18946,0,3,0,0,0,0,0,0,0,1,0,0,0.24
5,3,3,14367,0,4,0,0,0,0,0,0,1,0,0,0,0.19
5,5,2,12970,1,5,0,0,0,0,0,0,0,0,1,0,0.46
3,2,2,10746,0,2,0,0,0,0,0,0,0,1,0,0,0.4
4,3,3,9327,1,4,0,0,0,0,0,0,0,0,1,0,0.44
4,1,4,13841,0,10,0,0,0,0,0,0,1,0,0,0,0.17
4,1,4,13841,0,10,0,0,0,0,0,0,1,0,0,0,0.17
1,1,1,74,0,38,0,0,0,0,0,0,1,0,0,0,0.26
3,3,2,18550,1,2,0,0,0,0,0,0,1,0,0,0,0.2
3,1,1,14272,0,6,0,0,0,0,0,0,1,0,0,0,0.16
7,7,7,9304,1,15,0,0,0,0,0,0,0,0,1,0,0.46
7,7,7,9304,1,15,0,0,0,0,0,0,0,0,1,0,0.46
3,2,2,1628,1,5,0,0,0,0,0,0,0,0,1,0,14.09
5,3,3,15007,0,2,0,0,0,0,0,0,1,0,0,0,0.18
1,1,1,8922,1,4,0,0,0,0,0,0,0,0,1,0,0.69
2,3,1,17684,0,3,0,0,0,0,0,0,1,0,0,0,0.17
6,6,5,12844,0,22,0,0,0,0,0,0,0,0,1,0,0.39
6,6,5,12844,0,22,0,0,0,0,0,0,0,0,1,0,0.39
5,3,5,16586,0,2,0,0,0,0,0,0,1,0,0,0,0.19
2,1,1,2999,1,13,0,0,0,0,0,0,1,0,0,0,0.21
2,1,2,18765,0,2,0,0,0,0,0,0,0,1,0,0,0.24
2,1,2,18765,0,2,0,0,0,0,0,0,0,1,0,0,0.24
1,1,1,6698,1,13,0,0,0,0,0,0,0,1,0,0,0.49
3,2,2,3485,1,6,0,0,0,0,0,0,0,1,0,0,0.25
4,1,2,2624,1,10,0,0,0,0,0,0,0,1,0,0,0.32
4,1,2,2624,1,10,0,0,0,0,0,0,0,1,0,0,0.32
3,2,2,4435,1,2,0,0,0,0,0,0,0,0,1,0,2.97
3,2,2,4435,1,2,0,0,0,0,0,0,0,0,1,0,2.97
3,3,1,15487,1,18,0,0,0,0,0,0,0,1,0,0,0.24
3,2,2,7564,0,5,0,0,0,0,0,0,0,0,1,0,1.33
3,2,2,7564,0,5,0,0,0,0,0,0,0,0,1,0,1.33
3,2,2,7986,0,14,0,0,0,0,0,0,0,1,0,0,0.25
3,2,2,4056,0,10,0,0,0,0,0,0,1,0,0,0,0.21
3,1,3,17157,0,3,0,0,0,0,0,0,1,0,0,0,0.17
3,1,3,17157,0,3,0,0,0,0,0,0,1,0,0,0,0.17
1,1,1,15731,0,6,0,0,0,0,0,0,1,0,0,0,0.18
1,1,1,15731,0,6,0,0,0,0,0,0,1,0,0,0,0.18
3,1,1,7451,1,7,0,0,0,0,0,0,1,0,0,0,0.19
3,2,1,6887,1,5,0,0,0,0,0,0,0,1,0,0,0.25
2,1,1,11777,1,3,0,0,0,0,0,0,0,0,1,0,0.49
2,1,2,18123,0,2,0,0,0,0,0,0,0,1,0,0,0.25
2,1,2,18123,0,2,0,0,0,0,0,0,0,1,0,0,0.25
1,1,1,7439,0,17,0,0,0,0,0,0,1,0,0,0,0.19
1,1,1,7439,0,17,0,0,0,0,0,0,1,0,0,0,0.19
2,1,1,6408,0,14,0,0,0,0,0,0,1,0,0,0,0.2
3,2,2,5194,1,6,0,0,0,0,0,0,0,1,0,0,1.75
6,5,5,10464,1,6,0,0,0,0,0,0,0,0,1,0,0.52
6,5,5,10464,1,6,0,0,0,0,0,0,0,0,1,0,0.52
5,3,3,18797,0,2,0,0,0,0,0,0,1,0,0,0,0.17
5,3,3,18797,0,2,0,0,0,0,0,0,1,0,0,0,0.17
3,2,2,18363,1,6,0,0,0,0,0,0,1,0,0,0,0.16
3,2,2,15366,0,2,0,0,0,0,0,0,1,0,0,0,0.17
3,2,2,15366,0,2,0,0,0,0,0,0,1,0,0,0,0.17
4,3,2,10580,1,2,0,0,0,0,0,0,0,0,1,0,0.49
3,1,1,2240,1,20,0,0,0,0,0,0,0,0,1,0,0.99
2,1,2,15742,0,3,0,0,0,0,0,0,1,0,0,0,0.19
2,1,2,15742,0,3,0,0,0,0,0,0,1,0,0,0,0.19
2,1,1,4916,0,7,0,0,0,0,0,0,1,0,0,0,0.18
2,1,1,4916,0,7,0,0,0,0,0,0,1,0,0,0,0.18
2,1,1,16018,0,17,0,0,0,0,0,0,1,0,0,0,0.17
5,5,1,11477,1,2,0,0,0,0,0,0,0,0,1,0,0.47
5,5,1,11477,1,2,0,0,0,0,0,0,0,0,1,0,0.47
3,2,2,17172,0,19,0,0,0,0,0,0,1,0,0,0,0.16
5,7,7,9843,0,2,0,0,0,0,0,0,0,0,1,0,0.45
6,6,6,15147,0,7,0,0,0,0,0,0,1,0,0,0,0.18
5,4,2,284,1,5,0,0,0,0,0,0,0,0,1,0,11.99
5,4,4,7126,1,26,0,0,0,0,0,0,0,0,1,0,0.44
5,4,4,7126,1,26,0,0,0,0,0,0,0,0,1,0,0.44
5,4,4,4287,0,40,0,0,0,0,0,0,0,0,1,0,0.48
5,4,4,4287,0,40,0,0,0,0,0,0,0,0,1,0,0.48
3,2,2,14598,0,5,0,0,0,0,0,0,1,0,0,0,0.18
3,2,2,14598,0,5,0,0,0,0,0,0,1,0,0,0,0.18
6,5,5,5238,0,31,0,0,0,0,0,0,0,0,1,0,0.42
6,5,5,5238,0,31,0,0,0,0,0,0,0,0,1,0,0.42
7,5,5,9012,0,3,0,0,0,0,0,0,0,0,1,0,0.49
7,5,5,9012,0,3,0,0,0,0,0,0,0,0,1,0,0.49
5,2,2,616,1,10,0,0,0,0,0,0,0,0,1,0,1.8
2,1,2,19022,0,2,0,0,0,0,0,0,0,1,0,0,0.24
2,1,2,19022,0,2,0,0,0,0,0,0,0,1,0,0,0.24
4,3,2,10230,0,4,0,0,0,0,0,0,1,0,0,0,0.19
4,3,2,10230,0,4,0,0,0,0,0,0,1,0,0,0,0.19
3,3,1,10583,0,3,0,0,0,0,0,0,1,0,0,0,0.19
3,3,1,10583,0,3,0,0,0,0,0,0,1,0,0,0,0.19
3,1,1,3655,0,6,0,0,0,0,0,0,0,1,0,0,0.27
3,1,1,3655,0,6,0,0,0,0,0,0,0,1,0,0,0.27
1,1,1,2566,1,2,0,0,0,0,0,0,1,0,0,0,1
1,3,3,11520,1,2,0,0,0,0,0,0,0,0,1,0,0.61
4,2,3,16999,0,11,0,0,0,0,0,0,1,0,0,0,0.16
4,2,3,16999,0,11,0,0,0,0,0,0,1,0,0,0,0.16
1,1,1,640,1,10,0,0,0,0,0,0,0,1,0,0,0.79
1,1,3,8608,0,3,0,0,0,0,0,0,0,1,0,0,0.8
1,1,3,8608,0,3,0,0,0,0,0,0,0,1,0,0,0.8
2,1,1,5740,1,3,0,0,0,0,0,0,0,1,0,0,0.25
2,1,1,5740,1,3,0,0,0,0,0,0,0,1,0,0,0.25
5,4,5,15381,0,11,0,0,0,0,0,0,1,0,0,0,0.16
2,2,2,18160,0,6,0,0,0,0,0,0,1,0,0,0,0.16
2,1,2,19026,0,2,0,0,0,0,0,0,0,1,0,0,0.25
4,3,3,13950,0,6,0,0,0,0,0,0,1,0,0,0,0.19
4,4,5,10958,1,4,0,0,0,0,0,0,0,1,0,0,0.25
4,4,5,10958,1,4,0,0,0,0,0,0,0,1,0,0,0.25
2,3,1,17747,0,2,0,0,0,0,0,0,0,1,0,0,0.25
2,2,2,13785,0,2,0,0,0,0,0,0,1,0,0,0,0.19
2,2,2,13785,0,2,0,0,0,0,0,0,1,0,0,0,0.19
1,1,1,10047,0,6,0,0,0,0,0,0,1,0,0,0,0.19
1,1,1,10047,0,6,0,0,0,0,0,0,1,0,0,0,0.19
5,4,2,14610,0,3,0,0,0,0,0,0,0,1,0,0,0.28
6,4,3,10626,0,2,0,0,0,0,0,0,0,1,0,0,0.24
6,4,3,10626,0,2,0,0,0,0,0,0,0,1,0,0,0.24
4,3,1,7030,0,7,0,0,0,0,0,0,0,1,0,0,0.25
4,3,1,7030,0,7,0,0,0,0,0,0,0,1,0,0,0.25
2,1,1,14613,0,4,0,0,0,0,0,0,0,1,0,0,0.24
5,3,4,17018,0,6,0,0,0,0,0,0,0,1,0,0,0.25
5,3,4,17018,0,6,0,0,0,0,0,0,0,1,0,0,0.25
3,2,2,8212,0,2,0,0,0,0,0,0,0,1,0,0,0.25
3,2,3,7273,0,7,0,0,0,0,0,0,0,0,1,0,0.6
3,2,3,7273,0,7,0,0,0,0,0,0,0,0,1,0,0.6
2,2,2,7375,0,2,0,0,0,0,0,0,0,0,1,0,1.43
2,2,2,7375,0,2,0,0,0,0,0,0,0,0,1,0,1.43
1,1,1,9999,0,9,0,0,0,0,0,0,1,0,0,0,0.19
1,1,1,9999,0,9,0,0,0,0,0,0,1,0,0,0,0.19
1,1,0,16326,0,10,0,0,0,0,0,0,1,0,0,0,0.19
1,1,0,16326,0,10,0,0,0,0,0,0,1,0,0,0,0.19
2,2,1,7235,0,3,0,0,0,0,0,0,0,1,0,0,0.41
3,2,2,15528,0,11,0,0,0,0,0,0,1,0,0,0,0.18
8,7,7,1631,1,13,0,0,0,0,0,0,0,0,1,0,0.64
4,2,3,18423,0,2,0,0,0,0,0,0,1,0,0,0,0.17
2,1,2,15170,1,2,0,0,0,0,0,0,1,0,0,0,0.18
2,1,2,15170,1,2,0,0,0,0,0,0,1,0,0,0,0.18
3,2,2,4529,0,6,0,0,0,0,0,0,0,1,0,0,0.25
4,2,2,7275,0,5,0,0,0,0,0,0,0,0,1,0,0.53
4,2,2,7275,0,5,0,0,0,0,0,0,0,0,1,0,0.53
3,5,1,6292,0,15,0,0,0,0,0,0,0,1,0,0,0.3
3,5,1,6292,0,15,0,0,0,0,0,0,0,1,0,0,0.3
3,5,0,10131,0,17,0,0,0,0,0,0,0,1,0,0,0.24
3,5,0,10131,0,17,0,0,0,0,0,0,0,1,0,0,0.24
4,5,3,8261,0,17,0,0,0,0,0,0,0,1,0,0,0.25
4,5,3,8261,0,17,0,0,0,0,0,0,0,1,0,0,0.25
1,3,0,11836,0,13,0,0,0,0,0,0,1,0,0,0,0.17
1,3,0,11836,0,13,0,0,0,0,0,0,1,0,0,0,0.17
3,2,2,12632,0,7,0,0,0,0,0,0,1,0,0,0,0.19
3,2,2,12632,0,7,0,0,0,0,0,0,1,0,0,0,0.19
4,3,2,734,1,4,0,0,0,0,0,0,0,0,1,0,3.88
4,3,2,734,1,4,0,0,0,0,0,0,0,0,1,0,3.88
3,2,2,3762,0,8,0,0,0,0,0,0,0,1,0,0,0.25
2,1,2,12456,0,7,0,0,0,0,0,0,1,0,0,0,0.18
2,1,2,12456,0,7,0,0,0,0,0,0,1,0,0,0,0.18
5,4,4,12195,0,31,0,0,0,0,0,0,0,1,0,0,4
1,1,1,13564,1,12,0,0,0,0,0,0,1,0,0,0,0.51
1,1,0,77,0,28,0,0,0,0,0,0,0,0,1,0,300
2,2,2,7182,0,19,0,0,0,0,0,0,0,1,0,0,15.46
4,3,3,16864,0,21,0,0,0,0,0,0,0,1,0,0,1.65
4,0,0,1241,1,16,0,0,0,0,0,0,0,1,0,0,7.5
5,4,2,13810,1,12,0,0,0,0,0,0,0,0,1,0,17.2
6,4,6,13903,0,15,0,0,0,0,0,0,1,0,0,0,0.54
6,5,5,11016,0,9,0,0,0,0,0,0,0,0,1,0,49.74
4,3,2,8806,1,17,0,0,0,0,0,0,0,1,0,0,5.5
2,1,1,11163,0,21,0,0,0,0,0,0,1,0,0,0,0.54
3,1,1,15094,0,6,0,0,0,0,0,0,0,1,0,0,2.55
3,1,1,13439,1,11,0,0,0,0,0,0,1,0,0,0,0.36
5,5,4,17086,0,16,0,0,0,0,0,0,0,1,0,0,1.99
2,1,2,13820,0,16,0,0,0,0,0,0,0,0,1,0,31.89
5,4,5,12479,0,17,0,0,0,0,0,0,0,1,0,0,3.78
6,8,8,14767,0,16,0,0,0,0,0,0,0,0,1,0,54.6
3,1,0,14561,0,11,0,0,0,0,0,0,1,0,0,0,0.44
4,2,2,8808,1,12,0,0,0,0,0,0,0,0,1,0,19
4,4,2,8708,1,28,0,0,0,0,0,0,1,0,0,0,0.4
1,1,1,8721,1,14,0,0,0,0,0,0,0,1,0,0,9.77
3,2,2,1860,1,17,0,0,0,0,0,0,0,0,1,0,58.47
3,2,2,17470,0,9,0,0,0,0,0,0,0,0,1,0,28.74
3,2,2,16726,0,10,0,0,0,0,0,0,1,0,0,0,0.35
2,2,2,5816,0,20,0,0,0,0,0,0,1,0,0,0,0.8
4,3,3,17480,0,20,0,0,0,0,0,0,1,0,0,0,0.32
3,3,2,14467,0,12,0,0,0,0,0,0,1,0,0,0,0.39
3,2,2,3850,1,17,0,0,0,0,0,0,0,1,0,0,34.99
2,2,2,17488,0,14,0,0,0,0,0,0,1,0,0,0,0.52
5,5,3,16917,0,11,0,0,0,0,0,0,1,0,0,0,0.4
3,1,1,9241,1,12,0,0,0,0,0,0,0,1,0,0,1.42
1,1,1,74,0,38,0,0,0,0,0,0,1,0,0,0,6.13
2,2,2,3420,0,18,0,0,0,0,0,0,0,0,1,0,57.5
7,7,7,9304,1,15,0,0,0,0,0,0,0,0,1,0,44.95
6,6,5,12844,0,22,0,0,0,0,0,0,0,0,1,0,114.9
1,1,1,15009,0,20,0,0,0,0,0,0,1,0,0,0,0.58
2,1,1,12376,1,14,0,0,0,0,0,0,1,0,0,0,0.47
1,1,1,15129,0,15,0,0,0,0,0,0,1,0,0,0,0.47
2,1,1,9654,1,12,0,0,0,0,0,0,0,0,1,0,17.09
3,1,1,10943,1,8,0,0,0,0,0,0,0,1,0,0,2.3
4,3,3,10144,0,11,0,0,0,0,0,0,0,0,1,0,24.95
3,3,1,15487,1,18,0,0,0,0,0,0,0,1,0,0,3
3,2,2,15604,0,13,0,0,0,0,0,0,1,0,0,0,0.32
6,6,6,18114,1,12,0,0,0,0,0,0,0,0,1,0,15.2
4,1,4,18115,0,12,0,0,0,0,0,0,0,1,0,0,3.37
4,3,3,17154,0,15,0,0,0,0,0,0,0,1,0,0,5
5,3,4,9449,0,12,0,0,0,0,0,0,0,0,1,0,15.75
3,1,1,6965,0,20,0,0,0,0,0,0,1,0,0,0,1.58
4,3,3,18798,0,9,0,0,0,0,0,0,0,0,1,0,28.5
2,0,0,11475,1,9,0,0,0,0,0,0,0,0,1,0,48.38
3,1,1,2240,1,20,0,0,0,0,0,0,0,0,1,0,69.43
2,1,1,16018,0,17,0,0,0,0,0,0,1,0,0,0,0.34
1,1,2,7204,0,14,0,0,0,0,0,0,0,0,1,0,120.72
3,2,2,17172,0,19,0,0,0,0,0,0,1,0,0,0,0.31
4,2,2,17548,1,11,0,0,0,0,0,0,0,1,0,0,1.28
1,1,1,5139,0,17,0,0,0,0,0,0,1,0,0,0,1.41
6,5,5,17176,0,12,0,0,0,0,0,0,1,0,0,0,0.43
3,2,2,18145,0,10,0,0,0,0,0,0,0,0,1,0,92.95
5,4,4,7126,1,26,0,0,0,0,0,0,0,1,0,0,18.48
5,4,4,4287,0,40,0,0,0,0,0,0,0,1,0,0,43.47
1,1,1,11565,0,13,0,0,0,0,0,0,1,0,0,0,0.43
6,5,5,5238,0,31,0,0,0,0,0,0,0,0,1,0,187.5
4,4,3,16466,1,14,0,0,0,0,0,0,0,1,0,0,1.5
5,4,2,16040,1,13,0,0,0,0,0,0,0,1,0,0,1.99
1,1,1,14214,1,10,0,0,0,0,0,0,0,0,1,0,15.24
5,4,4,19057,0,7,0,0,0,0,0,0,0,0,1,0,74.09
3,2,2,17390,0,13,0,0,0,0,0,0,0,1,0,0,3.45
3,2,0,1254,0,15,0,0,0,0,0,0,0,0,1,0,44.75
5,0,0,5308,1,9,0,0,0,0,0,0,0,0,1,0,56.75
5,5,2,13215,1,9,0,0,0,0,0,0,0,0,1,0,29.64
3,5,1,6292,0,15,0,0,0,0,0,0,0,1,0,0,1.95
3,4,1,8719,0,17,0,0,0,0,0,0,0,1,0,0,1.97
3,3,2,13795,0,11,0,0,0,0,0,0,0,1,0,0,1.6
3,5,0,10131,0,17,0,0,0,0,0,0,0,1,0,0,1.43
3,7,0,6431,0,10,0,0,0,0,0,0,0,1,0,0,2.87
3,8,0,10346,0,12,0,0,0,0,0,0,0,1,0,0,1.42
4,5,3,8261,0,17,0,0,0,0,0,0,0,1,0,0,1.87
3,5,0,12578,0,10,0,0,0,0,0,0,0,1,0,0,1.55
1,3,0,11836,0,13,0,0,0,0,0,0,1,0,0,0,0.39
4,3,3,15395,0,14,0,0,0,0,0,0,1,0,0,0,0.41
5,4,5,17987,0,12,0,0,0,0,0,0,0,1,0,0,1.65
2,2,2,6022,0,20,0,0,0,0,0,0,0,1,0,0,11.49
1,1,0,8319,0,12,0,0,0,0,0,0,0,0,1,0,33.5
3,3,2,1990,0,13,0,0,0,0,0,0,0,0,1,0,34.94
5,4,4,12195,0,31,0,0,0,0,0,0,0,1,0,0,0.25
2,2,1,9073,0,7,0,0,0,0,0,0,1,0,0,0,0.29
1,1,1,13564,1,12,0,0,0,0,0,0,1,0,0,0,0.21
1,1,0,77,0,28,0,0,0,0,0,0,0,0,1,0,14
2,2,2,7182,0,19,0,0,0,0,0,0,0,1,0,0,0.68
4,3,3,16864,0,21,0,0,0,0,0,0,0,1,0,0,0.24
4,0,0,1241,1,16,0,0,0,0,0,0,0,1,0,0,0.44
5,4,2,13810,1,12,0,0,0,0,0,0,0,0,1,0,0.87
6,4,6,13903,0,15,0,0,0,0,0,0,1,0,0,0,0.2
6,5,5,11016,0,9,0,0,0,0,0,0,0,0,1,0,4.77
4,3,2,8806,1,17,0,0,0,0,0,0,0,1,0,0,0.25
2,1,1,11163,0,21,0,0,0,0,0,0,1,0,0,0,0.23
3,1,1,13439,1,11,0,0,0,0,0,0,1,0,0,0,0.18
2,1,1,13819,0,4,0,0,0,0,0,0,0,1,0,0,0.24
5,5,4,17086,0,16,0,0,0,0,0,0,0,1,0,0,0.24
3,1,1,18043,0,6,0,0,0,0,0,0,0,0,1,0,0.45
2,1,2,13820,0,16,0,0,0,0,0,0,0,0,1,0,1.83
2,3,2,18047,1,9,0,0,0,0,0,0,1,0,0,0,0.18
5,4,5,12479,0,17,0,0,0,0,0,0,0,1,0,0,0.25
6,8,8,14767,0,16,0,0,0,0,0,0,0,0,1,0,4.81
3,1,0,14561,0,11,0,0,0,0,0,0,1,0,0,0,0.2
4,2,2,8808,1,12,0,0,0,0,0,0,0,0,1,0,0.45
4,4,2,8708,1,28,0,0,0,0,0,0,1,0,0,0,0.19
1,1,1,8721,1,14,0,0,0,0,0,0,0,1,0,0,0.31
3,2,2,1860,1,17,0,0,0,0,0,0,0,0,1,0,2.7
3,2,2,17470,0,9,0,0,0,0,0,0,0,0,1,0,2.51
3,2,2,16726,0,10,0,0,0,0,0,0,1,0,0,0,0.2
2,2,2,5816,0,20,0,0,0,0,0,0,1,0,0,0,0.2
4,3,3,17480,0,20,0,0,0,0,0,0,1,0,0,0,0.18
3,3,2,14467,0,12,0,0,0,0,0,0,1,0,0,0,0.19
3,2,2,3850,1,17,0,0,0,0,0,0,0,1,0,0,1.54
5,5,3,16917,0,11,0,0,0,0,0,0,1,0,0,0,0.19
7,8,6,17288,1,6,0,0,0,0,0,0,0,0,1,0,0.39
1,1,1,10904,0,11,0,0,0,0,0,0,1,0,0,0,0.25
3,1,1,9241,1,12,0,0,0,0,0,0,0,1,0,0,0.24
1,1,1,74,0,38,0,0,0,0,0,0,1,0,0,0,0.29
2,2,2,3420,0,18,0,0,0,0,0,0,0,0,1,0,6.59
7,7,7,9304,1,15,0,0,0,0,0,0,0,0,1,0,2.07
6,6,5,12844,0,22,0,0,0,0,0,0,0,0,1,0,1.34
1,1,1,15009,0,20,0,0,0,0,0,0,1,0,0,0,0.19
2,1,1,12376,1,14,0,0,0,0,0,0,1,0,0,0,0.19
3,3,6,9651,1,5,0,0,0,0,0,0,0,0,1,0,0.99
1,1,1,15129,0,15,0,0,0,0,0,0,1,0,0,0,0.19
2,1,1,9654,1,12,0,0,0,0,0,0,0,0,1,0,2.09
3,1,1,10943,1,8,0,0,0,0,0,0,0,1,0,0,0.35
4,3,3,10144,0,11,0,0,0,0,0,0,0,0,1,0,0.63
3,3,1,15487,1,18,0,0,0,0,0,0,0,1,0,0,0.24
3,2,2,15604,0,13,0,0,0,0,0,0,1,0,0,0,0.19
6,6,6,18114,1,12,0,0,0,0,0,0,0,0,1,0,0.49
4,1,4,18115,0,12,0,0,0,0,0,0,0,1,0,0,0.25
4,3,3,17154,0,15,0,0,0,0,0,0,0,1,0,0,0.24
5,3,4,9449,0,12,0,0,0,0,0,0,0,0,1,0,0.45
3,1,1,6965,0,20,0,0,0,0,0,0,1,0,0,0,0.2
